Fecha (dd/mm/aaaa),IB1
24/03/2022,0.04955
23/03/2022,0.04912
22/03/2022,0.04895
18/03/2022,0.04755
17/03/2022,0.04681
16/03/2022,0.04578
15/03/2022,0.04546
14/03/2022,0.04571
11/03/2022,0.04517
10/03/2022,0.04453
09/03/2022,0.04284
08/03/2022,0.04205
07/03/2022,0.04159
04/03/2022,0.0415
03/03/2022,0.04023
02/03/2022,0.0395
01/03/2022,0.03941
28/02/2022,0.03976
25/02/2022,0.04
24/02/2022,0.04
23/02/2022,0.03963
22/02/2022,0.03956
21/02/2022,0.0392
18/02/2022,0.0395
17/02/2022,0.03931
16/02/2022,0.03911
15/02/2022,0.0396
14/02/2022,0.0396
11/02/2022,0.03986
10/02/2022,0.04166
09/02/2022,0.0405
08/02/2022,0.04001
07/02/2022,0.0394
04/02/2022,0.03881
03/02/2022,0.03881
02/02/2022,0.03873
01/02/2022,0.03879
31/01/2022,0.03878
28/01/2022,0.03748
27/01/2022,0.03766
26/01/2022,0.03643
25/01/2022,0.03596
24/01/2022,0.03566
21/01/2022,0.03526
20/01/2022,0.03481
19/01/2022,0.03421
18/01/2022,0.03388
17/01/2022,0.03345
14/01/2022,0.03319
13/01/2022,0.033
12/01/2022,0.03275
11/01/2022,0.03272
07/01/2022,0.03193
06/01/2022,0.03128
05/01/2022,0.0308
04/01/2022,0.03053
03/01/2022,0.03003
30/12/2021,0.02966
29/12/2021,0.02937
28/12/2021,0.02914
27/12/2021,0.02913
24/12/2021,0.02913
23/12/2021,0.0291
22/12/2021,0.02906
21/12/2021,0.02923
20/12/2021,0.0294
17/12/2021,0.03043
16/12/2021,0.03016
15/12/2021,0.0297
14/12/2021,0.02935
13/12/2021,0.02878
10/12/2021,0.02862
09/12/2021,0.02838
07/12/2021,0.0284
06/12/2021,0.02781
03/12/2021,0.0272
02/12/2021,0.02701
01/12/2021,0.02652
30/11/2021,0.02604
29/11/2021,0.02573
26/11/2021,0.02558
25/11/2021,0.02546
24/11/2021,0.0254
23/11/2021,0.02532
22/11/2021,0.0251
19/11/2021,0.02505
18/11/2021,0.025
17/11/2021,0.025
16/11/2021,0.02491
12/11/2021,0.0248
11/11/2021,0.0248
10/11/2021,0.02478
09/11/2021,0.02458
08/11/2021,0.02459
05/11/2021,0.02463
04/11/2021,0.02468
03/11/2021,0.0247
02/11/2021,0.0248
29/10/2021,0.02365
28/10/2021,0.02305
27/10/2021,0.02288
26/10/2021,0.0228
25/10/2021,0.02255
22/10/2021,0.02252
21/10/2021,0.02216
20/10/2021,0.02193
19/10/2021,0.022
15/10/2021,0.022
14/10/2021,0.0219
13/10/2021,0.02163
12/10/2021,0.0215
11/10/2021,0.02103
08/10/2021,0.02053
07/10/2021,0.02048
06/10/2021,0.0206
05/10/2021,0.02039
04/10/2021,0.0203
01/10/2021,0.0201
30/09/2021,0.02035
29/09/2021,0.02043
28/09/2021,0.0205
27/09/2021,0.02025
24/09/2021,0.01996
23/09/2021,0.01988
22/09/2021,0.01933
21/09/2021,0.01907
20/09/2021,0.01879
17/09/2021,0.0187
16/09/2021,0.01876
15/09/2021,0.01863
14/09/2021,0.01863
13/09/2021,0.0185
10/09/2021,0.01865
09/09/2021,0.01872
08/09/2021,0.01831
07/09/2021,0.01796
06/09/2021,0.0177
03/09/2021,0.0177
02/09/2021,0.0177
01/09/2021,0.01748
31/08/2021,0.0174
30/08/2021,0.01738
27/08/2021,0.01735
26/08/2021,0.01732
25/08/2021,0.01738
24/08/2021,0.01738
23/08/2021,0.01743
20/08/2021,0.01729
19/08/2021,0.01733
18/08/2021,0.0173
17/08/2021,0.01723
13/08/2021,0.01724
12/08/2021,0.01725
11/08/2021,0.0173
10/08/2021,0.01738
09/08/2021,0.01733
06/08/2021,0.01733
05/08/2021,0.01715
04/08/2021,0.01718
03/08/2021,0.01714
02/08/2021,0.0172
30/07/2021,0.01713
29/07/2021,0.01712
28/07/2021,0.01713
27/07/2021,0.01709
26/07/2021,0.0171
23/07/2021,0.01709
22/07/2021,0.0171
21/07/2021,0.01709
19/07/2021,0.01712
16/07/2021,0.0171
15/07/2021,0.01713
14/07/2021,0.01714
13/07/2021,0.01711
12/07/2021,0.0171
09/07/2021,0.01713
08/07/2021,0.01714
07/07/2021,0.01716
06/07/2021,0.01715
02/07/2021,0.01723
01/07/2021,0.01718
30/06/2021,0.01718
29/06/2021,0.0172
28/06/2021,0.01739
25/06/2021,0.01745
24/06/2021,0.0174
23/06/2021,0.01735
22/06/2021,0.01731
21/06/2021,0.01733
18/06/2021,0.01718
17/06/2021,0.0172
16/06/2021,0.01715
15/06/2021,0.01715
11/06/2021,0.01714
10/06/2021,0.01712
09/06/2021,0.01712
08/06/2021,0.01715
04/06/2021,0.01715
03/06/2021,0.01718
02/06/2021,0.01715
01/06/2021,0.01718
31/05/2021,0.0172
28/05/2021,0.01718
27/05/2021,0.01719
26/05/2021,0.01719
25/05/2021,0.0172
24/05/2021,0.01724
21/05/2021,0.01721
20/05/2021,0.01718
19/05/2021,0.01717
18/05/2021,0.01711
14/05/2021,0.01711
13/05/2021,0.01712
12/05/2021,0.01712
11/05/2021,0.01712
10/05/2021,0.01714
07/05/2021,0.01714
06/05/2021,0.01714
05/05/2021,0.01714
04/05/2021,0.01714
03/05/2021,0.01711
30/04/2021,0.01706
29/04/2021,0.01701
28/04/2021,0.01712
27/04/2021,0.01711
26/04/2021,0.01711
23/04/2021,0.0171
22/04/2021,0.0171
21/04/2021,0.01708
20/04/2021,0.017
19/04/2021,0.01695
16/04/2021,0.01688
15/04/2021,0.01697
14/04/2021,0.017
13/04/2021,0.01707
12/04/2021,0.01708
09/04/2021,0.01705
08/04/2021,0.01698
07/04/2021,0.017
06/04/2021,0.017
05/04/2021,0.01703
31/03/2021,0.01704
30/03/2021,0.01709
29/03/2021,0.01712
26/03/2021,0.01708
25/03/2021,0.01713
24/03/2021,0.01708
23/03/2021,0.01703
19/03/2021,0.01707
18/03/2021,0.01705
17/03/2021,0.01699
16/03/2021,0.01699
15/03/2021,0.01709
12/03/2021,0.01713
11/03/2021,0.01713
10/03/2021,0.01706
09/03/2021,0.01713
08/03/2021,0.01706
05/03/2021,0.017
04/03/2021,0.01709
03/03/2021,0.0171
02/03/2021,0.0171
01/03/2021,0.01713
26/02/2021,0.01713
25/02/2021,0.01709
24/02/2021,0.01713
23/02/2021,0.0171
22/02/2021,0.01711
19/02/2021,0.01713
18/02/2021,0.01713
17/02/2021,0.01713
16/02/2021,0.01706
15/02/2021,0.01706
12/02/2021,0.01711
11/02/2021,0.01712
10/02/2021,0.01706
09/02/2021,0.01712
08/02/2021,0.01706
05/02/2021,0.01706
04/02/2021,0.01705
03/02/2021,0.01704
02/02/2021,0.01698
01/02/2021,0.017
29/01/2021,0.01686
28/01/2021,0.01683
27/01/2021,0.01678
26/01/2021,0.0167
25/01/2021,0.01658
22/01/2021,0.0166
21/01/2021,0.01658
20/01/2021,0.01668
19/01/2021,0.01692
18/01/2021,0.01697
15/01/2021,0.01698
14/01/2021,0.01698
13/01/2021,0.01698
12/01/2021,0.01701
08/01/2021,0.01698
07/01/2021,0.01695
06/01/2021,0.017
05/01/2021,0.01701
04/01/2021,0.01708
30/12/2020,0.01712
29/12/2020,0.01712
28/12/2020,0.01712
24/12/2020,0.01712
23/12/2020,0.01712
22/12/2020,0.01711
21/12/2020,0.01712
18/12/2020,0.01715
17/12/2020,0.01715
16/12/2020,0.01714
15/12/2020,0.01714
14/12/2020,0.01714
11/12/2020,0.01712
10/12/2020,0.01714
09/12/2020,0.01713
07/12/2020,0.01712
04/12/2020,0.01718
03/12/2020,0.01717
02/12/2020,0.01723
01/12/2020,0.01714
30/11/2020,0.01714
27/11/2020,0.01718
26/11/2020,0.01714
25/11/2020,0.01716
24/11/2020,0.01722
23/11/2020,0.01722
20/11/2020,0.01717
19/11/2020,0.01717
18/11/2020,0.0172
17/11/2020,0.01711
13/11/2020,0.01714
12/11/2020,0.01714
11/11/2020,0.01714
10/11/2020,0.01713
09/11/2020,0.0171
06/11/2020,0.0171
05/11/2020,0.01716
04/11/2020,0.01711
03/11/2020,0.0171
30/10/2020,0.01709
29/10/2020,0.0171
28/10/2020,0.01712
27/10/2020,0.01718
26/10/2020,0.01713
23/10/2020,0.01712
22/10/2020,0.01714
21/10/2020,0.01713
20/10/2020,0.01712
19/10/2020,0.01714
16/10/2020,0.01712
15/10/2020,0.01711
14/10/2020,0.0171
13/10/2020,0.01711
09/10/2020,0.01711
08/10/2020,0.01711
07/10/2020,0.01711
06/10/2020,0.01712
05/10/2020,0.01705
02/10/2020,0.01707
01/10/2020,0.0171
30/09/2020,0.01711
29/09/2020,0.0171
28/09/2020,0.01712
25/09/2020,0.01838
24/09/2020,0.01853
23/09/2020,0.01863
22/09/2020,0.01875
21/09/2020,0.01882
18/09/2020,0.01893
17/09/2020,0.01901
16/09/2020,0.01902
15/09/2020,0.01905
14/09/2020,0.0191
11/09/2020,0.0191
10/09/2020,0.01919
09/09/2020,0.01918
08/09/2020,0.01928
07/09/2020,0.01928
04/09/2020,0.01949
03/09/2020,0.0195
02/09/2020,0.0195
01/09/2020,0.01968
31/08/2020,0.02
28/08/2020,0.02002
27/08/2020,0.02007
26/08/2020,0.0201
25/08/2020,0.02013
24/08/2020,0.02009
21/08/2020,0.02029
20/08/2020,0.02038
19/08/2020,0.0205
18/08/2020,0.02078
14/08/2020,0.02088
13/08/2020,0.02098
12/08/2020,0.02088
11/08/2020,0.02086
10/08/2020,0.02105
06/08/2020,0.02134
05/08/2020,0.02128
04/08/2020,0.0215
03/08/2020,0.02181
31/07/2020,0.02208
30/07/2020,0.02213
29/07/2020,0.02223
28/07/2020,0.02229
27/07/2020,0.02228
24/07/2020,0.02263
23/07/2020,0.02262
22/07/2020,0.02263
21/07/2020,0.02271
17/07/2020,0.02278
16/07/2020,0.023
15/07/2020,0.0229
14/07/2020,0.02298
13/07/2020,0.0229
10/07/2020,0.02298
09/07/2020,0.02314
08/07/2020,0.02306
07/07/2020,0.0231
06/07/2020,0.02335
03/07/2020,0.0237
02/07/2020,0.0238
01/07/2020,0.02373
30/06/2020,0.023
26/06/2020,0.02339
25/06/2020,0.02341
24/06/2020,0.02363
23/06/2020,0.0238
19/06/2020,0.02433
18/06/2020,0.02463
17/06/2020,0.02485
16/06/2020,0.02511
12/06/2020,0.02526
11/06/2020,0.0255
10/06/2020,0.0256
09/06/2020,0.02573
08/06/2020,0.02601
05/06/2020,0.02614
04/06/2020,0.02623
03/06/2020,0.0262
02/06/2020,0.0262
01/06/2020,0.02671
29/05/2020,0.02676
28/05/2020,0.0268
27/05/2020,0.0275
26/05/2020,0.02758
22/05/2020,0.02776
21/05/2020,0.02803
20/05/2020,0.02835
19/05/2020,0.02876
18/05/2020,0.02878
15/05/2020,0.02893
14/05/2020,0.02901
13/05/2020,0.0292
12/05/2020,0.0293
11/05/2020,0.02945
08/05/2020,0.02965
07/05/2020,0.0302
06/05/2020,0.03083
05/05/2020,0.03073
04/05/2020,0.031
30/04/2020,0.03085
29/04/2020,0.03093
28/04/2020,0.0312
27/04/2020,0.03115
24/04/2020,0.03153
23/04/2020,0.03161
22/04/2020,0.03212
21/04/2020,0.03184
20/04/2020,0.03195
17/04/2020,0.0324
16/04/2020,0.03305
15/04/2020,0.03335
14/04/2020,0.03378
13/04/2020,0.0341
08/04/2020,0.0345
07/04/2020,0.03458
06/04/2020,0.03482
03/04/2020,0.03485
02/04/2020,0.03538
01/04/2020,0.03548
31/03/2020,0.03535
30/03/2020,0.036
27/03/2020,0.03735
26/03/2020,0.03793
25/03/2020,0.03815
24/03/2020,0.03995
20/03/2020,0.04063
19/03/2020,0.041
18/03/2020,0.0411
17/03/2020,0.04109
16/03/2020,0.04114
13/03/2020,0.04117
12/03/2020,0.04118
11/03/2020,0.04123
10/03/2020,0.04112
09/03/2020,0.04112
06/03/2020,0.04109
05/03/2020,0.04103
04/03/2020,0.04108
03/03/2020,0.04111
02/03/2020,0.04114
28/02/2020,0.04115
27/02/2020,0.04115
26/02/2020,0.04113
25/02/2020,0.04115
24/02/2020,0.04115
21/02/2020,0.04114
20/02/2020,0.04114
19/02/2020,0.04113
18/02/2020,0.04114
17/02/2020,0.04113
14/02/2020,0.04115
13/02/2020,0.04114
12/02/2020,0.04114
11/02/2020,0.04114
10/02/2020,0.04115
07/02/2020,0.04114
06/02/2020,0.04115
05/02/2020,0.04114
04/02/2020,0.04115
03/02/2020,0.04114
31/01/2020,0.04115
30/01/2020,0.04114
29/01/2020,0.04115
28/01/2020,0.04117
27/01/2020,0.04116
24/01/2020,0.04117
23/01/2020,0.04115
22/01/2020,0.04115
21/01/2020,0.04114
20/01/2020,0.04115
17/01/2020,0.04114
16/01/2020,0.04114
15/01/2020,0.04114
14/01/2020,0.04114
13/01/2020,0.04114
10/01/2020,0.04116
09/01/2020,0.04114
08/01/2020,0.04119
07/01/2020,0.04118
03/01/2020,0.04114
02/01/2020,0.04114
30/12/2019,0.04112
27/12/2019,0.04112
26/12/2019,0.04112
24/12/2019,0.04112
23/12/2019,0.04112
20/12/2019,0.04112
19/12/2019,0.04113
18/12/2019,0.04113
17/12/2019,0.04113
16/12/2019,0.04113
13/12/2019,0.04113
12/12/2019,0.04113
11/12/2019,0.04113
10/12/2019,0.04115
09/12/2019,0.04113
06/12/2019,0.04114
05/12/2019,0.04114
04/12/2019,0.04114
03/12/2019,0.04113
02/12/2019,0.04117
29/11/2019,0.04113
28/11/2019,0.04117
27/11/2019,0.04113
26/11/2019,0.04113
25/11/2019,0.04114
22/11/2019,0.04115
21/11/2019,0.04113
20/11/2019,0.04115
19/11/2019,0.04113
18/11/2019,0.04114
15/11/2019,0.04114
14/11/2019,0.04114
13/11/2019,0.04115
12/11/2019,0.04116
08/11/2019,0.04118
07/11/2019,0.04115
06/11/2019,0.04116
05/11/2019,0.04114
01/11/2019,0.04114
31/10/2019,0.04115
30/10/2019,0.04117
29/10/2019,0.04119
28/10/2019,0.0412
25/10/2019,0.04119
24/10/2019,0.04119
23/10/2019,0.04116
22/10/2019,0.04119
21/10/2019,0.04117
18/10/2019,0.04115
17/10/2019,0.04115
16/10/2019,0.04117
15/10/2019,0.04114
11/10/2019,0.04114
10/10/2019,0.04113
09/10/2019,0.04114
08/10/2019,0.04114
07/10/2019,0.04113
04/10/2019,0.04112
03/10/2019,0.04115
02/10/2019,0.04113
01/10/2019,0.04112
30/09/2019,0.04115
27/09/2019,0.04112
26/09/2019,0.04113
25/09/2019,0.04113
24/09/2019,0.04113
23/09/2019,0.04113
20/09/2019,0.04113
19/09/2019,0.04113
18/09/2019,0.04113
17/09/2019,0.04113
16/09/2019,0.04113
13/09/2019,0.04115
12/09/2019,0.04118
11/09/2019,0.04123
10/09/2019,0.04125
09/09/2019,0.04125
06/09/2019,0.04124
05/09/2019,0.04123
04/09/2019,0.04124
03/09/2019,0.04127
02/09/2019,0.04122
30/08/2019,0.0412
29/08/2019,0.04121
28/08/2019,0.04125
27/08/2019,0.0412
26/08/2019,0.04119
23/08/2019,0.04119
22/08/2019,0.04119
21/08/2019,0.04116
20/08/2019,0.04117
16/08/2019,0.04115
15/08/2019,0.04115
14/08/2019,0.04117
13/08/2019,0.04115
12/08/2019,0.04114
09/08/2019,0.04113
08/08/2019,0.04114
06/08/2019,0.04115
05/08/2019,0.04115
02/08/2019,0.04116
01/08/2019,0.04114
31/07/2019,0.04113
30/07/2019,0.04113
29/07/2019,0.0411
26/07/2019,0.04102
25/07/2019,0.04103
24/07/2019,0.04101
23/07/2019,0.04102
22/07/2019,0.04103
19/07/2019,0.04103
18/07/2019,0.04103
17/07/2019,0.04105
16/07/2019,0.04107
15/07/2019,0.04109
12/07/2019,0.0411
11/07/2019,0.04113
10/07/2019,0.04112
09/07/2019,0.04111
08/07/2019,0.04112
05/07/2019,0.04112
04/07/2019,0.0411
03/07/2019,0.0411
02/07/2019,0.0411
28/06/2019,0.04111
27/06/2019,0.0411
26/06/2019,0.0411
25/06/2019,0.0411
21/06/2019,0.04109
20/06/2019,0.0411
19/06/2019,0.0411
18/06/2019,0.0411
17/06/2019,0.0411
14/06/2019,0.04109
13/06/2019,0.0411
12/06/2019,0.0411
11/06/2019,0.04112
10/06/2019,0.04112
07/06/2019,0.04112
06/06/2019,0.04111
05/06/2019,0.04111
04/06/2019,0.04112
31/05/2019,0.04113
30/05/2019,0.04113
29/05/2019,0.04112
28/05/2019,0.04112
27/05/2019,0.04112
24/05/2019,0.04112
23/05/2019,0.04112
22/05/2019,0.04112
21/05/2019,0.04112
20/05/2019,0.04112
17/05/2019,0.04112
16/05/2019,0.04112
15/05/2019,0.04112
14/05/2019,0.04112
13/05/2019,0.04111
10/05/2019,0.04112
09/05/2019,0.04112
08/05/2019,0.04112
07/05/2019,0.04112
06/05/2019,0.04112
03/05/2019,0.04112
02/05/2019,0.04112
30/04/2019,0.04112
29/04/2019,0.04111
26/04/2019,0.04112
25/04/2019,0.04112
24/04/2019,0.04112
23/04/2019,0.04111
22/04/2019,0.04111
17/04/2019,0.0411
16/04/2019,0.04111
15/04/2019,0.04111
12/04/2019,0.04112
11/04/2019,0.04111
10/04/2019,0.04112
09/04/2019,0.04113
08/04/2019,0.04112
05/04/2019,0.04112
04/04/2019,0.04113
03/04/2019,0.04112
02/04/2019,0.04113
01/04/2019,0.04112
29/03/2019,0.04112
28/03/2019,0.04112
27/03/2019,0.04112
26/03/2019,0.04111
22/03/2019,0.04111
21/03/2019,0.04111
20/03/2019,0.04111
19/03/2019,0.04111
18/03/2019,0.04112
15/03/2019,0.04112
14/03/2019,0.04111
13/03/2019,0.04111
12/03/2019,0.04111
11/03/2019,0.04111
08/03/2019,0.04111
07/03/2019,0.04111
06/03/2019,0.0411
05/03/2019,0.0411
04/03/2019,0.04111
01/03/2019,0.0411
28/02/2019,0.04111
27/02/2019,0.04111
26/02/2019,0.04111
25/02/2019,0.04111
22/02/2019,0.04111
21/02/2019,0.04111
20/02/2019,0.04111
19/02/2019,0.04112
18/02/2019,0.04112
15/02/2019,0.04111
14/02/2019,0.04112
13/02/2019,0.04112
12/02/2019,0.04112
11/02/2019,0.04112
08/02/2019,0.04111
07/02/2019,0.04111
06/02/2019,0.04111
05/02/2019,0.0411
04/02/2019,0.04112
01/02/2019,0.04112
31/01/2019,0.04112
30/01/2019,0.04112
29/01/2019,0.04112
28/01/2019,0.04112
25/01/2019,0.04112
24/01/2019,0.04112
23/01/2019,0.04112
22/01/2019,0.04114
21/01/2019,0.04113
18/01/2019,0.04113
17/01/2019,0.04112
